TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8319990385827765,1068,924
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7821550280894941,1067,839
