TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.863548934210342,1076,961
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8652816304515334,1075,950
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8664326605163984,1078,969
org.jfree.data.xy.XYSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7218692209893666,1084,930
